/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-28 03:52:26,142[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on HalfCheetah-v5...
Eval: global_step=1253376, reward=3595.17 +/- 55.24
global_step=1257252, episodic_return=3457.48
global_step=1261256, episodic_return=3478.83
Eval: global_step=1261568, reward=3628.42 +/- 65.95
global_step=1265260, episodic_return=3482.44
global_step=1269264, episodic_return=3451.89
Eval: global_step=1269760, reward=3584.20 +/- 60.62
global_step=1273268, episodic_return=3468.74
global_step=1277272, episodic_return=3499.74
Eval: global_step=1277952, reward=3596.67 +/- 41.20
global_step=1281276, episodic_return=3436.39
global_step=1285280, episodic_return=3374.49
Eval: global_step=1286144, reward=3434.24 +/- 498.44
global_step=1289284, episodic_return=3417.03
global_step=1293288, episodic_return=3401.10
Eval: global_step=1294336, reward=3256.32 +/- 953.01
global_step=1297292, episodic_return=3455.34
global_step=1301296, episodic_return=3405.40
Eval: global_step=1302528, reward=3585.60 +/- 45.48
global_step=1305300, episodic_return=3382.89
global_step=1309304, episodic_return=3409.46
Eval: global_step=1310720, reward=3582.21 +/- 31.62
global_step=1313308, episodic_return=3379.76
global_step=1317312, episodic_return=3488.22
Eval: global_step=1318912, reward=3596.37 +/- 54.51
global_step=1321316, episodic_return=3424.59
global_step=1325320, episodic_return=3439.31
Eval: global_step=1327104, reward=3593.96 +/- 48.11
global_step=1329324, episodic_return=3406.36
global_step=1333328, episodic_return=3339.07
Eval: global_step=1335296, reward=3618.21 +/- 43.88
global_step=1337332, episodic_return=3428.62
global_step=1341336, episodic_return=3473.99
Eval: global_step=1343488, reward=3584.95 +/- 34.53
global_step=1345340, episodic_return=3513.58
global_step=1349344, episodic_return=3479.56
Eval: global_step=1351680, reward=3560.11 +/- 35.85
global_step=1353348, episodic_return=3367.16
global_step=1357352, episodic_return=3410.82
Eval: global_step=1359872, reward=3572.85 +/- 34.25
global_step=1361356, episodic_return=3470.77
global_step=1365360, episodic_return=3288.01
Eval: global_step=1368064, reward=3538.40 +/- 75.57
global_step=1369364, episodic_return=3371.72
global_step=1373368, episodic_return=3333.06
Eval: global_step=1376256, reward=3528.91 +/- 52.38
global_step=1377372, episodic_return=3363.84
global_step=1381376, episodic_return=3386.71
Eval: global_step=1384448, reward=3570.72 +/- 42.88
global_step=1385380, episodic_return=3439.99
global_step=1389384, episodic_return=3465.46
Eval: global_step=1392640, reward=3558.02 +/- 65.14
global_step=1393388, episodic_return=3380.72
global_step=1397392, episodic_return=3405.96
Eval: global_step=1400832, reward=3524.65 +/- 34.71
global_step=1401396, episodic_return=3401.53
global_step=1405400, episodic_return=3360.98
Eval: global_step=1409024, reward=3578.71 +/- 42.62
global_step=1409404, episodic_return=3372.81
global_step=1413408, episodic_return=3413.25
Eval: global_step=1417216, reward=3553.92 +/- 45.19
global_step=1417412, episodic_return=3515.86
global_step=1421416, episodic_return=3471.21
Eval: global_step=1425408, reward=3600.51 +/- 30.78
global_step=1425420, episodic_return=3459.10
global_step=1429424, episodic_return=3513.85
global_step=1433428, episodic_return=3528.53
Eval: global_step=1433600, reward=3569.69 +/- 42.80
global_step=1437432, episodic_return=3443.88
global_step=1441436, episodic_return=3550.40
Eval: global_step=1441792, reward=3587.64 +/- 56.77
global_step=1445440, episodic_return=3422.29
global_step=1449444, episodic_return=3397.07
Eval: global_step=1449984, reward=3592.06 +/- 42.83
global_step=1453448, episodic_return=3461.27
global_step=1457452, episodic_return=3513.49
Eval: global_step=1458176, reward=3498.69 +/- 323.30
global_step=1461456, episodic_return=3603.50
global_step=1465460, episodic_return=3450.52
